condition,task,analysis_scope,representation,method,model_role,manuscript_role,mean_macroF1,mean_MCC,mean_balanced_accuracy,mean_model_size,mean_n_relations,mean_n_feature_mentions,n_repeats,n_rows,frontier_status,frontier_definition
EC,AD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Primary k-TSP,primary_kTSP,pre-specified primary compact rank-rule model,0.7807,0.592,0.7911,7.8,3.9,7.8,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,AD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Tuned compact k-TSP envelope,best_compact_rank_rule,descriptive tuned compact sensitivity envelope,0.7992,0.629,0.8095,8.0,4.0,8.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,AD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,TSP,TSP_reference,single-pair TSP technical reference,0.7507,0.5492,0.7652,2.0,1.0,2.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,AD+FTD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Primary k-TSP,primary_kTSP,pre-specified primary compact rank-rule model,0.749,0.547,0.7835,7.94,3.97,7.94,20,20,dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,AD+FTD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,TSP,TSP_reference,single-pair TSP technical reference,0.6927,0.4754,0.7436,2.0,1.0,2.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,AD+FTD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,Tuned compact k-TSP envelope,best_compact_rank_rule,descriptive tuned compact sensitivity envelope,0.7698,0.5756,0.7998,5.48,2.74,5.48,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,FTD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,Tuned compact k-TSP envelope,best_compact_rank_rule,descriptive tuned compact sensitivity envelope,0.7759,0.5819,0.7777,5.84,2.92,5.84,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,FTD vs CN,best_representation_landscape,Regional amplitude-decile aggregates,Primary k-TSP,primary_kTSP,pre-specified primary compact rank-rule model,0.7609,0.5569,0.7698,7.64,3.82,7.64,20,20,dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EC,FTD vs CN,best_representation_landscape,Regional amplitude-decile aggregates,TSP,TSP_reference,single-pair TSP technical reference,0.718,0.4604,0.7229,2.0,1.0,2.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,AD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Primary k-TSP,primary_kTSP,pre-specified primary compact rank-rule model,0.7572,0.5438,0.7655,7.74,3.87,7.74,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,AD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,TSP,TSP_reference,single-pair TSP technical reference,0.7255,0.4902,0.7361,2.0,1.0,2.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,AD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,Tuned compact k-TSP envelope,best_compact_rank_rule,descriptive tuned compact sensitivity envelope,0.8154,0.6725,0.8294,8.0,4.0,8.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,AD+FTD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Primary k-TSP,primary_kTSP,pre-specified primary compact rank-rule model,0.7571,0.5381,0.7738,7.88,3.94,7.88,20,20,dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,AD+FTD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,TSP,TSP_reference,single-pair TSP technical reference,0.7408,0.5047,0.7568,2.0,1.0,2.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,AD+FTD vs CN,best_representation_landscape,Regional absolute PSD/bandpower,Tuned compact k-TSP envelope,best_compact_rank_rule,descriptive tuned compact sensitivity envelope,0.7738,0.5667,0.7862,5.11,2.555,5.11,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,FTD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Primary k-TSP,primary_kTSP,pre-specified primary compact rank-rule model,0.8089,0.6411,0.8122,7.28,3.64,7.28,20,20,dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,FTD vs CN,best_representation_landscape,Channel-band absolute PSD/bandpower,Tuned compact k-TSP envelope,best_compact_rank_rule,descriptive tuned compact sensitivity envelope,0.8094,0.6555,0.8183,6.0,3.0,6.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
EO/photo,FTD vs CN,best_representation_landscape,Regional amplitude-decile aggregates,TSP,TSP_reference,single-pair TSP technical reference,0.7354,0.5248,0.7536,2.0,1.0,2.0,20,20,non_dominated,non-dominated by another compact rank-rule with <= model size and >= macro-F1 within the same task/condition
